iter	TotalF1	MultiClass
971	1	0.03785148364
972	1	0.03782484994
973	1	0.03775465436
974	1	0.03771587597
975	1	0.03765362762
976	1	0.03760751807
977	1	0.03752484203
978	1	0.03748394541
979	1	0.0374501347
980	1	0.03740787317
981	1	0.03733312774
982	1	0.03727054008
983	1	0.03720549217
984	1	0.03714563673
985	1	0.0371051921
986	1	0.03707697649
987	1	0.03702137715
988	1	0.03698530319
989	1	0.03693756953
990	1	0.03691289775
991	1	0.03687216925
992	1	0.03682924056
993	1	0.03677133487
994	1	0.0367306231
995	1	0.03669410829
996	1	0.03666051264
997	1	0.03662003513
998	1	0.03658151057
999	1	0.03655875227
